hispanic,state
0.1126,District of Columbia
0.0355,Mississippi
0.0692,Louisiana
0.1049,Georgia
0.1181,Maryland
0.0526,Alabama
0.0689,South Carolina
0.1053,Delaware
0.1072,North Carolina
0.1053,Virginia
0.0693,Tennessee
0.0853,Arkansas
0.2645,Florida
0.1824,Illinois
0.1954,New York
0.056,Michigan
0.2156,New Jersey
0.0442,Ohio
0.3926,Texas
0.0492,Missouri
0.0807,Pennsylvania
0.1729,Connecticut
0.2868,Nevada
0.0817,Indiana
0.0461,Kentucky
0.1192,Oklahoma
0.0606,Minnesota
0.1263,Massachusetts
0.0759,Wisconsin
0.1302,Kansas
0.394,California
0.1659,Rhode Island
0.1197,Nebraska
0.3065,Arizona
0.0677,Iowa
0.1375,Washington
0.2188,Colorado
0.0194,West Virginia
0.0429,North Dakota
0.0679,Alaska
0.0437,South Dakota
0.1389,Oregon
0.0195,Maine
0.4774,New Mexico
0.0955,Hawaii
0.0432,New Hampshire
0.0241,Vermont
0.1507,Utah
0.1024,Wyoming
0.1302,Idaho
0.0417,Montana
0.9888,Puerto Rico
